location_name,top_category,latitude,longitude
Korean BBQ Grill,Restaurants and Other Eating Places,40.908895,-73.781193
Viva Ranch Fruit Market,Grocery Stores,40.909606,-73.780965
Nonna's Pizza Bar Restaurent,Restaurants and Other Eating Places,40.907736,-73.77924
Bella Glo Beauty Spa,Personal Care Services,40.921269,-73.788062
Stephenson Park,"Museums Historical Sites, and Similar Institutions",40.918642,-73.773797
Hong Kong Restaurant,Restaurants and Other Eating Places,40.895828,-73.778763
The Beechmont Tavern,Restaurants and Other Eating Places,40.926907,-73.789403
Dunkin',Restaurants and Other Eating Places,40.902327,-73.791284
Critter Sitters,Other Personal Services,40.90213,-73.775657
North Ridge Shopping Center,Lessors of Real Estate,40.948892,-73.792099
El Sabor,Grocery Stores,40.911478,-73.777842
Russell Cellular,Electronics and Appliance Stores,40.946878,-73.794362
Kennedy Fried Chicken,Restaurants and Other Eating Places,40.914715,-73.785032
B&A Froyo,Restaurants and Other Eating Places,40.923058,-73.788056
Aiello Park,"Museums Historical Sites, and Similar Institutions",40.902573,-73.773714
Sun Hing Chinese Take Out,Restaurants and Other Eating Places,40.927355,-73.789517
Vfw Tot Lot,"Museums, Historical Sites, and Similar Institutions",40.896167,-73.779477
Queens Wig Corporation,Health and Personal Care Stores,40.908905,-73.781862
Wykagyl Service Station,Gasoline Stations,40.948453,-73.793136
Safavieh Home Furnishings,Furniture Stores,40.898762,-73.794887
Salsa Express,Restaurants and Other Eating Places,40.915036,-73.772223
Rocbody Fitness Cafe,Restaurants and Other Eating Places,40.922936,-73.788123
Waffle Cafe,Restaurants and Other Eating Places,40.922867,-73.788177
St Nersess Armenian Seminary,Child Day Care Services,40.967797,-73.790279
G&H Salon,Personal Care Services,40.907692,-73.779331
Salesian Missions,Other Personal Services,40.915518,-73.766877
Shooters Lounge,Restaurants and Other Eating Places,40.908604,-73.779419
Shore Road Diner,Restaurants and Other Eating Places,40.897219,-73.777752
Loupino's Delicatessen,Restaurants and Other Eating Places,40.905676,-73.774342
Sydney's Furniture,Furniture Stores,40.90821,-73.782862
Union Taxi Service,Gasoline Stations,40.909361,-73.793913
Tzatziki Greek Grill,Restaurants and Other Eating Places,40.914436,-73.773304
Domino's Pizza,Restaurants and Other Eating Places,40.916982,-73.785644
Glen Island Center For Nursing And Rehabilitation,Nursing Care Facilities (Skilled Nursing Facilities),40.894571,-73.781594
Wallauer Paint & Design,Building Material and Supplies Dealers,40.908536,-73.784469
