E  library 10 50 
F  school 50 300
G  grocery store 5 50
H  hospital 1800 2200
J  drug store/pharmacy 1 3 
K  restaurant 2 10
L  salon/barber shop 1 5
M  miscellaneous store/business 1 10
M1  construction 1 10
M2  something 1 20
N  gym 1 10
P  postal office 5 10
Q  parks/ public landmarks 1 3
R  bank 5 10
S  coffee shop 1 5 
T  commnity center 5 10
U  gas station 2 5
V  religious institution 5 10
X  government building: police station, fire station, etc. 10 20
Y  golf club 5 10
Z  museum 5 10
AA  retirement/nursing home 20 50
BB  clinic/ urgent care office 5 10
CC  doctor's office 2 5
DD  veterinarian 2 5
EE  event space 1 5
FF  daycare/child services 10 30
GG  Warehouse/storage facility 1 10
HH  transit center 5 10
C something 1 10
